,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
89,DNA,EBV 90207 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
90,DNA,SV40 90211 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
91,DNA,HHV5 hCMV 90212 DNA Oligonucleotide,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
92,DNA,HHV6 90216 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
93,DNA,HHV7 90227 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
94,DNA,HHV8 90223 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
95,DNA,HIV-1 90327 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
96,DNA,HIV-2 90310 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
97,DNA,HBV 90260 DNA Oligonucleotide,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
98,RNA,HCV 2-O-Methyl RNA Oligoncucleotide,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
99,RNA,HTLV 90269 RNA Oligonucleotide,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
